file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,150.545,165.612,81.591,84.021,322.354,346.404,438.872,315.715,1.431,46.550,9.435,4.934,16.67,309.700,480.676,732.388,1234.696,1616.732,2001.741,2426.388,2866.695,365.285,47.908,-1.357,,
HFC_07.30_1.wav,HFC,179.548,217.885,120.708,97.177,348.852,536.828,741.581,216.421,1.557,74.124,10.596,6.995,7.51,336.511,632.161,807.645,1193.222,1615.019,1939.889,2322.864,2777.353,348.692,50.188,-0.653,,
HFC_07.30_2.wav,HFC,129.181,240.382,93.384,146.999,209.509,309.536,498.791,189.219,1.501,37.812,12.658,2.987,6.76,276.977,525.024,827.201,1240.686,1644.286,2026.021,2435.065,2855.363,368.341,47.510,-0.168,,
HFC_07.45.wav,HFC,172.309,282.974,120.209,162.765,305.710,349.070,493.921,178.385,1.543,57.433,11.989,4.790,9.97,292.728,517.234,777.089,1184.386,1619.640,2009.886,2435.828,2865.057,367.476,47.622,-0.649,,
HFC_07.45_1.wav,HFC,154.552,203.221,67.979,135.241,315.569,382.960,547.051,197.033,1.655,51.280,11.780,4.353,9.35,320.965,539.317,793.177,1224.857,1618.203,1973.597,2388.773,2845.595,360.662,48.522,-0.714,,
HFC_07.45_2.wav,HFC,164.255,252.348,124.802,127.546,311.452,391.126,654.409,69.486,1.936,67.946,11.106,6.118,9.21,311.712,582.059,807.986,1195.603,1634.932,2005.589,2372.403,2803.224,355.930,49.167,-0.891,,
HFC_08.00.wav,HFC,181.918,260.989,93.089,167.899,254.935,371.059,618.658,171.013,1.361,50.455,11.024,4.577,5.06,291.567,583.556,844.575,1220.303,1597.582,1997.650,2412.835,2765.174,353.372,49.523,-0.304,,
HFC_08.00_1.wav,HFC,172.853,285.772,91.023,194.749,285.137,386.427,639.963,186.928,1.894,69.440,10.297,6.744,7.48,313.800,573.917,835.309,1244.124,1656.850,2023.202,2423.287,2898.782,369.283,47.389,-0.432,,
HFC_08.00_2.wav,HFC,213.003,291.142,139.967,151.175,261.229,291.353,378.069,157.236,1.725,63.525,11.012,5.769,12.20,292.481,520.373,809.526,1210.890,1656.597,2033.710,2429.972,2869.836,368.194,47.529,-0.475,,
HFC_08.15.wav,HFC,174.190,253.373,82.140,171.233,309.126,381.532,606.395,319.554,1.403,57.054,10.336,5.520,6.13,308.002,562.824,833.184,1201.118,1574.576,1976.363,2378.551,2870.076,366.010,47.813,-0.740,,
HFC_08.15_1.wav,HFC,214.814,284.162,132.612,151.550,255.314,342.843,584.665,265.950,2.006,71.168,12.462,5.711,5.13,301.877,575.452,857.133,1233.063,1591.336,1982.699,2420.806,2835.522,361.949,48.349,-0.488,,
HFC_08.15_2.wav,HFC,226.531,257.067,139.659,117.408,232.037,343.758,568.505,248.712,1.543,40.756,11.989,3.400,3.46,276.608,566.572,860.861,1216.617,1555.276,1945.099,2364.832,2786.675,358.581,48.803,-0.548,,
HFC_08.30.wav,HFC,231.724,278.723,155.393,123.331,301.056,471.056,736.169,286.445,1.249,45.815,11.213,4.086,1.05,319.168,615.131,886.903,1221.392,1563.093,1933.630,2356.700,2765.749,349.512,50.070,-0.608,,
HFC_08.30_1.wav,HFC,201.991,280.379,154.350,126.029,241.267,331.048,497.225,201.760,1.347,60.326,11.510,5.241,7.43,290.112,552.559,825.345,1198.407,1590.092,1975.239,2349.584,2840.224,364.302,48.037,-0.805,,
HFC_08.30_2.wav,HFC,242.958,261.831,206.053,55.777,288.492,467.329,705.430,266.913,1.150,42.674,11.301,3.776,1.21,322.317,609.453,888.717,1228.349,1596.867,1965.012,2376.482,2855.957,361.949,48.349,-0.535,,
HFC_08.45.wav,HFC,269.958,283.615,235.750,47.866,265.545,352.227,613.627,259.437,1.697,59.808,12.961,4.615,10.10,286.315,567.702,824.221,1209.602,1556.424,1983.260,2380.231,2874.047,369.676,47.339,-0.498,,
HFC_08.45_1.wav,HFC,276.517,288.585,251.271,37.314,275.858,340.254,580.979,268.378,1.319,64.688,10.996,5.883,9.87,286.672,561.130,794.255,1190.097,1568.096,1991.841,2372.954,2882.779,370.872,47.186,-0.606,,
HFC_08.45_2.wav,HFC,238.269,291.952,146.888,145.065,274.519,367.210,628.497,60.825,1.319,52.642,11.755,4.478,8.08,294.366,571.314,833.239,1200.564,1552.052,1948.073,2365.050,2870.571,368.029,47.551,-0.643,,
HFC_09.00.wav,HFC,191.339,276.534,142.944,133.590,284.777,335.121,542.569,293.634,1.627,73.091,10.140,7.208,8.85,287.896,557.753,811.534,1194.440,1528.404,1924.517,2347.395,2816.798,361.272,48.440,-0.884,,
