elapsed_time_s,cpu_percent,system_memory_percent,system_memory_used_mb,process_rss_mb
0.00040340423583984375,0.0,6.0,480.34375,1.046875
0.5039980411529541,43.6,6.7,542.765625,88.359375
1.0044050216674805,30.0,7.1,570.828125,128.375
1.5047597885131836,25.0,8.2,657.9375,240.890625
2.0051183700561523,25.0,8.5,683.46875,306.4375
2.5054121017456055,25.0,8.8,709.859375,329.625
3.0056710243225098,25.0,10.3,830.5625,663.015625
3.5059564113616943,25.0,10.7,865.796875,690.875
4.006223678588867,25.1,11.3,911.5625,750.328125
4.506572961807251,9.0,11.8,947.828125,768.015625
5.006918907165527,3.0,11.7,945.171875,782.8125
5.507252931594849,7.1,12.0,965.921875,799.0
6.0075743198394775,15.9,12.0,968.5625,824.0625
6.507905006408691,16.9,12.2,985.5,841.25
7.008304595947266,13.1,12.4,997.625,850.875
7.5086750984191895,0.0,12.4,995.859375,876.640625
8.008979558944702,8.0,12.8,1035.859375,899.875
8.509299516677856,15.0,12.8,1031.734375,915.0
9.00961184501648,7.5,12.9,1037.359375,945.421875
9.50994348526001,22.1,12.9,1040.328125,958.40625
10.010247468948364,24.5,13.1,1052.75,963.96875
10.510581731796265,25.0,13.1,1059.109375,972.09375
11.010913133621216,24.6,13.2,1060.515625,975.921875
11.51127552986145,25.4,13.2,1062.984375,980.328125
12.01163935661316,24.5,13.2,1065.359375,984.65625
12.512012243270874,25.4,13.3,1068.5625,988.046875
13.012378454208374,12.6,13.3,1071.484375,989.0625
13.51276683807373,13.1,13.5,1087.984375,989.0625
14.013116836547852,20.9,13.5,1085.3125,989.421875
14.513449430465698,25.0,13.5,1088.078125,992.359375
15.013757705688477,25.1,13.5,1091.59375,996.296875
15.514109134674072,25.0,13.5,1092.4375,999.0
16.014458656311035,25.4,13.6,1098.453125,1002.859375
16.514830589294434,25.0,13.7,1103.984375,1006.21875
17.0152006149292,25.0,13.7,1102.28125,1007.921875
17.515544652938843,25.0,13.7,1105.46875,1009.953125
18.015860319137573,25.4,13.7,1101.265625,1013.21875
