elapsed_time_s,cpu_percent,system_memory_percent,system_memory_used_mb,process_rss_mb
0.00040793418884277344,0.0,6.1,492.03125,1.078125
0.5007407665252686,45.5,6.9,554.28125,89.703125
1.0011436939239502,28.0,7.3,591.6875,132.09375
1.5014746189117432,25.4,8.2,662.78125,265.40625
2.001817226409912,24.6,8.7,699.8125,309.96875
2.5021514892578125,25.5,8.8,713.484375,331.046875
3.0024666786193848,25.0,10.6,854.109375,667.6875
3.502797842025757,25.0,10.7,860.75,696.6875
4.003089904785156,25.0,11.4,917.1875,762.671875
4.5034019947052,36.5,11.9,962.109375,838.796875
5.00370192527771,25.1,12.3,989.703125,897.375
5.504054546356201,25.0,12.7,1022.59375,950.1875
6.004379987716675,26.0,13.0,1050.765625,972.40625
6.5047125816345215,31.8,13.2,1060.921875,970.8125
7.005112648010254,42.3,13.1,1058.0,1000.96875
7.505513668060303,36.7,13.1,1058.0,1011.125
8.005895614624023,36.5,13.1,1056.25,1011.515625
8.50626516342163,36.2,13.1,1056.25,983.1875
9.010472774505615,39.9,13.1,1054.953125,983.125
9.510892629623413,44.5,13.1,1053.78125,972.484375
10.011252641677856,37.7,13.1,1053.78125,983.71875
10.5116605758667,37.0,13.1,1054.703125,997.9375
11.014460802078247,36.1,13.1,1054.734375,972.828125
11.514799356460571,33.5,13.1,1054.5,989.375
12.015187740325928,41.1,13.1,1054.1875,1012.203125
12.515789985656738,36.4,13.1,1054.1875,973.46875
13.016176700592041,36.2,13.1,1052.46875,1009.703125
13.516814231872559,37.0,13.1,1053.640625,979.8125
14.017361164093018,37.0,13.0,1048.203125,973.34375
14.517744541168213,37.1,13.1,1052.890625,985.375
15.018468141555786,37.3,13.0,1049.484375,1008.875
15.519056558609009,36.8,13.0,1051.828125,973.375
16.019404411315918,36.7,12.9,1043.375,973.5625
16.519761323928833,37.1,13.0,1050.015625,1012.421875
17.020193815231323,37.0,12.9,1040.515625,991.1875
17.52091145515442,34.0,13.0,1045.203125,972.625
18.021249294281006,39.8,12.9,1036.703125,973.34375
18.521641492843628,37.0,13.0,1044.90625,1012.40625
19.02226185798645,36.2,13.0,1045.0625,1011.6875
19.52289581298828,37.4,13.0,1045.0625,1011.71875
20.02352523803711,36.7,13.0,1044.75,1012.484375
20.523923873901367,37.6,13.0,1045.4375,1012.234375
21.024574518203735,36.5,13.0,1048.328125,1012.28125
21.525187492370605,35.7,13.0,1048.328125,973.078125
22.025534868240356,36.8,12.9,1037.765625,973.234375
22.525870084762573,34.0,13.0,1046.3125,972.375
23.02625823020935,40.5,13.0,1046.328125,1011.328125
23.52685785293579,37.3,12.9,1042.8125,1011.546875
24.028368711471558,36.8,12.9,1041.328125,1012.484375
24.528987407684326,37.3,12.9,1041.328125,1011.71875
25.029372692108154,36.8,12.9,1042.34375,1011.84375
25.530006170272827,36.4,12.9,1042.34375,1011.546875
26.03064274787903,36.8,12.9,1040.515625,1012.1875
26.531025648117065,36.8,12.9,1040.515625,1012.265625
27.031452417373657,37.0,13.1,1053.1875,1011.71875
27.532164812088013,36.8,13.1,1053.1875,1012.21875
28.032826900482178,36.4,13.0,1049.75,1011.703125
28.533311128616333,37.1,13.0,1049.75,1011.5
29.03369975090027,36.7,13.0,1050.421875,983.265625
29.53404188156128,36.5,13.0,1047.296875,983.15625
30.034384727478027,37.3,13.0,1045.609375,984.328125
30.53478240966797,37.1,13.0,1048.328125,1012.484375
31.035433530807495,36.4,13.0,1050.34375,1012.296875
31.536086559295654,36.8,13.1,1052.6875,1012.03125
32.03679013252258,36.5,13.0,1048.71875,1012.21875
32.5374276638031,37.0,13.0,1048.71875,1012.390625
33.03782534599304,37.0,13.0,1047.78125,1012.640625
33.53820013999939,39.3,13.0,1048.171875,982.96875
34.04245734214783,46.5,12.9,1038.640625,973.375
34.54279613494873,34.3,13.0,1047.234375,972.84375
35.043142557144165,38.4,13.0,1049.359375,1012.09375
35.54353213310242,37.0,13.0,1049.359375,1012.359375
36.043954610824585,36.8,13.0,1049.21875,1012.953125
36.54460549354553,37.0,13.0,1049.21875,974.1875
37.04497027397156,25.9,13.0,1047.25,984.328125
37.54531931877136,36.5,13.0,1048.03125,984.34375
38.045644998550415,37.0,13.0,1048.53125,983.9375
38.545982360839844,36.5,13.0,1048.90625,984.234375
39.04634618759155,37.0,13.0,1045.265625,1013.390625
39.54675030708313,37.1,12.9,1044.09375,1012.5
40.047176361083984,37.0,12.9,1041.609375,1011.90625
40.54781484603882,37.3,12.9,1042.296875,1012.8125
41.04818296432495,36.5,12.9,1040.0625,1012.59375
41.548593282699585,36.7,12.9,1040.296875,1012.640625
42.04920554161072,36.8,12.8,1033.40625,973.5625
