elapsed_time_s,cpu_percent,system_memory_percent,system_memory_used_mb,process_rss_mb
0.0005364418029785156,0.0,14.4,1160.78125,1.046875
0.5009424686431885,6.5,14.7,1186.03125,37.4375
1.0012881755828857,3.0,14.8,1189.828125,63.109375
1.5015969276428223,3.0,15.0,1208.5625,101.015625
2.0019149780273438,8.6,15.7,1268.90625,153.984375
2.502258777618408,9.9,16.0,1293.890625,193.546875
3.0025434494018555,13.0,16.0,1292.53125,218.046875
3.5028648376464844,19.6,16.3,1313.265625,238.03125
4.003197193145752,10.2,16.6,1341.5625,255.578125
4.503504991531372,13.9,16.9,1358.921875,275.921875
5.003799915313721,12.5,16.9,1365.515625,299.46875
5.5041210651397705,14.6,17.1,1378.953125,317.75
6.00446343421936,14.2,17.7,1431.015625,345.90625
6.504795074462891,19.0,18.7,1503.984375,407.171875
7.0052289962768555,36.7,19.0,1532.703125,465.609375
7.505572080612183,41.4,20.0,1616.5,548.609375
8.006123781204224,39.9,20.5,1656.515625,582.140625
8.507365942001343,42.3,20.9,1684.125,611.765625
9.007784605026245,38.6,21.3,1717.78125,655.9375
9.508215427398682,42.1,21.7,1751.5,686.796875
10.008605003356934,39.3,22.3,1797.140625,732.984375
10.50901484489441,41.4,22.6,1824.453125,746.671875
11.00965428352356,38.9,23.3,1875.375,803.484375
11.51006293296814,41.3,23.7,1910.46875,846.296875
12.010490894317627,44.5,24.1,1941.140625,870.515625
12.510884523391724,41.9,24.7,1991.609375,917.5625
13.011285781860352,38.9,25.0,2011.75,937.84375
13.511703252792358,42.4,25.6,2060.421875,992.390625
14.012085914611816,37.9,26.1,2107.5625,1046.59375
14.512476682662964,42.5,26.5,2133.15625,1067.03125
15.012848615646362,41.6,27.0,2178.375,1108.609375
15.513212442398071,41.6,27.4,2206.078125,1125.015625
16.01359486579895,34.5,27.9,2247.1875,1183.578125
16.514018297195435,41.4,28.2,2277.421875,1199.0625
17.014404296875,40.6,28.7,2310.515625,1253.390625
17.51479434967041,39.8,29.2,2350.59375,1272.5
18.015218257904053,43.0,29.5,2377.078125,1325.65625
18.515732049942017,37.4,29.9,2408.171875,1369.140625
19.017537117004395,43.3,30.3,2443.984375,1403.0
19.518007516860962,40.3,30.8,2482.703125,1446.640625
20.018391370773315,41.9,31.2,2514.4375,1460.5
20.51967763900757,41.4,31.7,2555.609375,1517.1875
21.020089626312256,39.5,32.1,2585.734375,1534.71875
21.5205557346344,43.5,32.7,2633.3125,1596.640625
22.02096128463745,42.3,33.2,2677.984375,1636.859375
22.521371603012085,42.0,33.5,2698.96875,1652.8125
23.02186131477356,42.7,34.2,2755.78125,1712.265625
23.522836446762085,41.5,34.7,2801.046875,1756.625
24.02365732192993,42.9,35.0,2823.015625,1770.953125
24.524097681045532,42.3,35.6,2874.34375,1825.328125
25.024487018585205,37.5,36.1,2910.375,1871.640625
25.52488923072815,40.7,36.4,2931.46875,1887.84375
26.0252742767334,38.3,37.1,2989.265625,1950.90625
26.525655508041382,40.4,37.3,3007.0,1961.78125
27.02601408958435,39.6,37.8,3044.734375,2015.53125
27.52640390396118,39.4,38.2,3077.015625,2031.84375
28.02682590484619,43.3,38.8,3126.40625,2090.078125
28.52841353416443,40.8,39.3,3170.171875,2128.65625
29.029057025909424,42.4,39.7,3200.765625,2149.984375
29.529470682144165,40.0,40.1,3234.546875,2206.21875
30.029942274093628,38.9,40.5,3265.0,2224.5625
30.53100347518921,43.4,41.3,3330.203125,2285.53125
31.032209873199463,41.8,41.8,3366.828125,2321.265625
31.53263783454895,39.9,42.2,3403.34375,2364.96875
32.033037185668945,44.5,42.5,3428.859375,2393.828125
32.53342795372009,41.2,43.1,3478.171875,2443.484375
33.0338032245636,39.1,43.8,3534.0,2461.703125
33.53416872024536,26.9,44.2,3566.1875,2461.8125
34.034597873687744,23.5,20.1,1623.734375,432.28125
