timestamp,elapsed_s,cpu_percent_total,proc_rss_mb,sys_mem_percent,disk_used_gb,disk_free_gb
2026-02-22 03:42:15,0.001,0.0,12.19,5.7,29.138,160.862
2026-02-22 03:42:16,0.504,10.8,12.19,5.7,29.138,160.862
2026-02-22 03:42:16,1.006,12.2,12.19,5.7,29.138,160.862
2026-02-22 03:42:17,1.508,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:17,2.01,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:18,2.511,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:18,3.013,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:19,3.515,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:19,4.017,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:20,4.518,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:20,5.02,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:21,5.522,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:21,6.024,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:22,6.525,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:22,7.027,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:23,7.529,12.1,12.19,5.7,29.138,160.862
2026-02-22 03:42:23,8.031,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:24,8.532,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:24,9.034,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:25,9.536,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:25,10.038,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:26,10.54,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:26,11.041,10.8,12.19,5.7,29.138,160.862
2026-02-22 03:42:27,11.543,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:27,12.045,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:28,12.546,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:28,13.048,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:29,13.55,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:29,14.053,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:30,14.555,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:30,15.056,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:31,15.558,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:31,16.061,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:32,16.563,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:32,17.065,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:33,17.567,10.7,12.19,5.7,29.138,160.862
2026-02-22 03:42:33,18.069,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:34,18.571,10.4,12.19,5.7,29.138,160.862
