label,duration_s,snr_db,f0_mean_hz,f0_min_hz,f0_max_hz,intensity_min_db,intensity_max_db,f1_mean_hz,f2_mean_hz,rms_energy_mean,rms_energy_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_95,zcr_mean,zcr_std,time_to_peak_s,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,voiced_ratio
1.0,2.1428125,15.669837951660156,243.04138514462784,102.3373891996775,306.66566893392013,-36.799842834472656,-9.565119743347168,282.57295854737436,883.8744233576887,0.12808382511138916,0.0694541186094284,357.39841358672845,279.99799340407236,962.2201492537314,0.031162546641791043,0.008140368537594709,1.632,-357.6628876838903,30.26077332238876,161.80185021073484,19.841389677669994,37.88345910140907,21.391608837524014,0.9701492537313433
1.0,1.41925,22.420692443847656,311.95457374946994,250.53288772482563,344.22057489773204,-36.074951171875,-5.010203838348389,379.8457437940014,1118.0145258545192,0.2728177309036255,0.15780183672904968,507.20959763068976,374.128934330062,1297.9166666666667,0.042881944444444445,0.009350604431195045,0.8,-247.75697356370014,56.38425141840869,207.78587280209152,39.067872958276965,1.9312292200452847,26.783970193425773,0.8444444444444444
1.0,1.8505625,10.306808471679688,290.63217090951684,236.47155720542963,332.4951584571151,-19.838626861572266,-6.89517068862915,318.2680314314265,1040.408498412821,0.2530757188796997,0.08826880902051926,426.87252438052406,322.94991778166843,1156.25,0.03625067349137931,0.004602249269195293,1.6,-289.38728860208596,35.70728083769088,186.9442219459051,20.739317288665557,11.110083400552766,33.871789903509125,0.9827586206896551
1.0,1.2244375,15.216828346252441,231.9703069584075,193.1872657849691,259.3679109302019,-32.09764862060547,-5.698668479919434,371.49386265589783,878.1296967672696,0.16200245916843414,0.10419899225234985,430.6304053035049,340.14665008222426,1087.3397435897436,0.03337840544871795,0.007560772616675631,1.024,-279.01055581158874,44.81084140880606,190.36830925661585,27.41565744090393,32.303884456716546,27.217758244671746,0.9743589743589743
1.0,1.6975625,18.92011070251465,294.8000513864414,236.47155720542963,328.6761258343161,-37.4931755065918,-6.414041042327881,319.5568618877036,940.5743761441312,0.1730884313583374,0.10696232318878174,440.755015380474,340.62972495393706,1197.048611111111,0.036693431712962965,0.005264326606424333,1.44,-303.55954608424867,37.23492950347554,169.83979436742757,26.859661215400056,15.315000207325276,22.153600741955984,0.9629629629629629
1.0,1.4331875,11.45688247680664,326.6411419957148,227.10088581417543,364.6889954232867,-28.514509201049805,-8.08808422088623,510.4680927503903,1111.2022297124847,0.13713109493255615,0.06549569964408875,646.0908006374891,432.5717557383118,1552.7777777777778,0.05572916666666667,0.01580489968516598,1.248,-279.83519878596394,26.964767580579224,218.37911106600478,26.27566289283169,-28.582248464706645,40.10876635926038,0.9111111111111111
1.0,1.767125,16.68497657775879,279.1647473702335,116.20455869578394,338.3070714525794,-28.152999877929688,-6.989686965942383,345.3694534656367,969.7346541888593,0.20651127398014069,0.11798153072595596,479.3233319318606,369.84772829253495,1238.002232142857,0.037632533482142856,0.006699969853947167,1.504,-274.090099678613,44.021971810598686,190.57030134137935,24.909484511864974,6.245709113653703,36.36238262155476,0.8392857142857143
1.0,1.683625,15.257999420166016,275.0164955936348,224.49240966187455,301.3973362949152,-33.17916488647461,-8.355823516845703,339.58348126135155,1008.2644041171446,0.12624004483222961,0.07467532902956009,515.9754069571486,400.3685266270589,1344.3396226415093,0.040315448113207544,0.009612181436810537,1.44,-327.1210417379156,32.49868394455734,190.48970713975706,27.10035897486533,-1.9075306471963047,32.24899704372658,0.9622641509433962
1.0,1.6558125,15.351383209228516,248.38078061435172,197.70280407057922,334.4212833154038,-27.4323673248291,-6.273283958435059,371.10739578118415,863.9862733088468,0.2939424514770508,0.12145628780126572,518.7127981808981,363.4120599808302,1269.53125,0.04464017427884615,0.008979671690820906,1.12,-230.60513877522934,59.554030658616064,228.63860502206055,38.8048028780171,-2.849737332070858,31.747267526750615,0.8461538461538461
1.0,1.6558125,14.684526443481445,270.60262702221814,128.1944081920729,306.66566893392013,-32.848541259765625,-6.695795059204102,332.003192011448,1081.8778867682852,0.21399269998073578,0.09013979882001877,437.65379883913135,337.2494202535596,1186.298076923077,0.036452073317307696,0.004551246914326716,1.344,-297.41782677842673,41.277442040037364,193.02754372921083,29.1314993268903,11.11520373980561,29.78880455655003,0.9615384615384616
