file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,150.896,182.739,84.992,97.747,192.360,418.831,776.276,169.258,2.147,40.125,10.946,3.666,9.89,284.578,582.587,1024.686,1343.424,1671.033,2070.890,2510.945,2924.509,377.133,46.403,-1.283,,
HFC_07.30_1.wav,HFC,149.189,165.096,87.221,77.875,201.800,446.537,954.517,152.663,1.925,39.568,8.050,4.915,11.43,305.900,599.540,1012.051,1382.041,1742.914,2109.532,2505.285,2861.732,365.119,47.930,-1.386,,
HFC_07.30_2.wav,HFC,184.095,251.029,80.047,170.983,279.361,450.730,747.902,247.877,2.130,41.231,11.503,3.584,3.37,321.144,585.564,979.845,1336.798,1691.610,2094.322,2529.380,2890.736,367.085,47.673,-1.252,,
HFC_07.45.wav,HFC,167.352,232.527,87.824,144.702,246.939,453.681,901.015,170.666,2.096,34.407,10.497,3.278,10.42,329.291,644.081,1051.657,1401.613,1761.133,2148.898,2532.786,2893.588,366.328,47.771,-1.270,,
HFC_07.45_1.wav,HFC,158.551,221.808,99.288,122.519,178.884,428.093,862.622,159.671,1.755,40.953,8.262,4.957,9.80,310.231,638.586,1065.460,1389.054,1750.143,2117.497,2524.437,2871.246,365.859,47.833,-1.443,,
HFC_07.45_2.wav,HFC,151.785,172.181,83.816,88.365,181.963,400.714,665.538,160.128,2.215,43.591,9.480,4.598,10.53,301.162,610.302,976.884,1327.946,1671.861,2065.814,2486.972,2772.985,353.118,49.559,-1.277,,
HFC_08.00.wav,HFC,166.698,187.135,81.847,105.288,188.730,368.203,835.861,178.094,2.215,38.619,9.255,4.173,13.12,277.157,581.549,993.093,1305.486,1704.492,2071.009,2489.986,2785.387,358.319,48.839,-1.505,,
HFC_08.00_1.wav,HFC,133.549,157.653,84.131,73.522,210.345,451.139,807.551,140.877,2.266,37.835,9.487,3.988,10.47,321.212,625.458,1037.855,1376.144,1741.518,2092.332,2542.263,2884.247,366.148,47.795,-1.230,,
HFC_08.00_2.wav,HFC,152.253,173.573,87.363,86.211,187.647,408.672,843.538,164.233,2.164,35.092,9.473,3.704,12.22,272.440,607.522,1015.241,1319.202,1692.720,2120.108,2518.403,2891.683,374.178,46.769,-1.423,,
HFC_08.15.wav,HFC,167.368,204.548,99.558,104.991,264.674,453.290,721.746,178.852,1.653,34.316,10.588,3.241,8.28,324.754,585.351,955.595,1329.296,1675.224,2065.337,2492.191,2826.660,357.415,48.963,-1.248,,
HFC_08.15_1.wav,HFC,163.544,182.357,90.200,92.157,228.385,442.480,767.520,169.820,1.789,46.802,10.340,4.526,9.90,304.486,611.987,982.791,1321.581,1680.382,2073.302,2508.919,2908.769,372.040,47.038,-1.183,,
HFC_08.30.wav,HFC,157.096,207.188,80.146,127.042,193.789,392.940,853.860,170.138,1.857,40.897,7.807,5.238,9.80,272.237,596.553,977.202,1345.673,1707.205,2123.088,2516.354,2885.355,373.303,46.879,-1.392,,
HFC_08.30_1.wav,HFC,148.120,179.989,84.275,95.714,203.707,397.253,868.043,163.981,1.857,42.764,9.961,4.293,9.38,288.012,594.192,1000.452,1343.240,1699.875,2111.711,2530.888,2936.207,378.314,46.258,-1.408,,
HFC_08.30_2.wav,HFC,163.898,186.856,87.734,99.122,220.751,461.382,1022.419,174.124,1.687,34.734,10.967,3.167,7.96,301.923,615.144,1008.450,1326.679,1691.669,2085.521,2525.016,2881.453,368.504,47.489,-1.408,,
HFC_08.45.wav,HFC,180.426,196.635,87.475,109.161,304.018,597.709,1291.571,186.031,1.704,33.687,12.031,2.800,10.34,319.372,616.440,1029.868,1334.169,1746.821,2138.901,2509.064,2883.005,366.233,47.784,-1.441,,
HFC_08.45_1.wav,HFC,176.025,201.897,85.251,116.647,221.336,424.005,894.540,182.544,2.130,35.180,9.860,3.568,10.98,289.601,590.418,953.130,1331.987,1729.739,2141.586,2544.434,2898.724,372.732,46.951,-1.495,,
HFC_08.45_2.wav,HFC,160.923,199.018,81.927,117.091,323.087,518.173,1032.489,172.832,1.602,38.901,8.741,4.450,10.66,317.555,624.621,1009.576,1356.376,1700.955,2097.737,2511.176,2922.781,372.175,47.021,-1.513,,
HFC_09.00.wav,HFC,155.826,188.751,84.648,104.103,232.305,493.570,961.930,179.462,1.738,35.975,9.206,3.908,9.37,311.821,647.306,995.327,1365.611,1749.316,2146.442,2554.453,2825.900,359.154,48.726,-1.283,,
HFC_09.00_1.wav,HFC,174.734,201.753,91.112,110.641,253.056,468.876,867.509,183.891,1.806,32.291,9.966,3.240,9.91,319.384,617.466,975.769,1321.865,1703.915,2095.279,2495.638,2849.135,361.393,48.424,-1.243,,
HFC_09.00_2.wav,HFC,170.015,198.846,81.770,117.076,268.421,436.890,958.571,182.429,1.755,42.521,10.256,4.146,10.22,307.527,609.696,1002.621,1327.400,1718.984,2117.479,2520.614,2873.083,366.508,47.748,-1.512,,
HFC_09.15.wav,HFC,164.580,189.423,81.408,108.014,252.919,420.794,891.245,174.672,1.789,39.467,7.546,5.230,10.86,303.493,599.261,996.962,1349.742,1705.627,2103.696,2545.640,2904.369,371.554,47.100,-1.313,,
HFC_09.15_1.wav,HFC,141.668,233.224,60.977,172.247,187.886,328.780,535.109,182.570,2.522,42.794,9.914,4.317,8.72,263.692,552.385,954.102,1342.469,1679.018,2073.161,2512.439,2872.160,372.638,46.962,-1.469,,
HFC_09.15_2.wav,HFC,149.001,186.210,85.918,100.292,239.563,455.993,824.645,167.543,1.602,41.672,9.365,4.450,9.82,305.602,606.944,968.682,1345.178,1691.686,2106.042,2534.552,2832.688,361.012,48.475,-1.306,,
HFC_09.30.wav,HFC,144.114,188.917,79.225,109.692,262.837,457.273,834.213,169.596,2.130,39.126,10.564,3.704,9.27,313.750,606.707,985.166,1357.753,1705.208,2148.522,2564.879,2871.482,365.390,47.894,-1.270,,
HFC_09.30_1.wav,HFC,171.436,196.100,88.468,107.632,205.983,413.738,767.280,181.284,1.636,46.525,8.864,5.248,6.97,284.502,582.196,946.926,1308.805,1689.079,2073.108,2507.044,2903.048,374.078,46.782,-1.301,,
HFC_09.30_2.wav,HFC,167.866,229.863,74.626,155.237,184.823,307.049,740.340,195.130,2.011,40.220,10.942,3.676,9.15,259.965,605.400,989.236,1346.966,1673.371,2092.196,2540.787,2855.304,370.763,47.200,-1.457,,
