file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,178.174,240.781,81.276,159.505,267.917,486.174,709.537,128.221,1.567,68.043,10.852,6.270,4.69,354.073,584.417,930.006,1360.118,1737.947,2164.258,2598.006,2855.046,357.282,48.981,-1.011,,
HFC_07.30_1.wav,HFC,162.095,239.645,87.909,151.736,212.750,372.960,637.264,126.097,1.472,48.095,9.853,4.881,2.14,327.310,575.274,891.863,1363.743,1739.483,2170.645,2615.578,2879.834,364.646,47.992,-0.595,,
HFC_07.30_2.wav,HFC,182.065,214.476,89.184,125.292,202.647,324.160,516.405,199.812,2.025,51.999,9.134,5.693,5.75,281.956,539.463,845.703,1281.873,1681.895,2078.804,2489.389,2844.058,366.015,47.812,-0.887,,
HFC_07.45.wav,HFC,190.455,230.681,162.600,68.081,269.840,476.464,749.635,214.342,1.756,65.090,11.387,5.716,5.55,311.582,584.518,847.443,1293.196,1684.498,2082.276,2474.388,2842.419,361.548,48.403,-1.117,,
HFC_07.45_1.wav,HFC,185.275,249.070,117.714,131.356,260.283,435.980,807.648,220.493,1.551,55.443,11.608,4.776,3.18,304.996,587.674,891.771,1319.945,1719.384,2111.505,2537.903,2826.046,360.150,48.591,-0.924,,
HFC_07.45_2.wav,HFC,212.297,274.087,104.470,169.617,297.357,570.367,814.770,193.185,1.424,57.626,11.586,4.974,4.37,361.293,611.869,877.039,1328.861,1742.059,2113.405,2520.127,2866.459,357.881,48.899,-1.064,,
HFC_08.00.wav,HFC,197.149,282.967,89.900,193.066,227.469,431.702,755.777,114.646,1.614,56.614,12.392,4.569,5.35,343.177,613.631,889.708,1363.048,1736.377,2174.523,2611.154,2843.478,357.186,48.994,-1.009,,
HFC_08.00_1.wav,HFC,190.834,228.236,125.997,102.239,192.543,323.826,559.931,198.511,1.234,49.052,10.128,4.843,1.29,291.961,579.977,916.275,1380.248,1736.663,2120.880,2557.417,2882.619,370.094,47.285,-0.578,,
HFC_08.00_2.wav,HFC,169.070,275.313,71.690,203.623,297.667,450.177,788.584,190.878,1.456,58.629,9.617,6.096,1.81,347.422,620.353,949.581,1409.870,1778.748,2178.141,2574.514,2920.887,367.638,47.601,-0.861,,
HFC_08.15.wav,HFC,202.888,254.061,118.331,135.730,256.305,441.167,731.231,248.782,1.630,68.248,9.510,7.176,7.21,295.437,603.759,854.868,1332.625,1707.695,2121.230,2521.978,2870.470,367.862,47.572,-1.198,,
HFC_08.15_1.wav,HFC,214.051,256.069,99.334,156.734,246.543,330.651,659.644,247.755,1.883,58.009,10.887,5.328,9.14,273.198,567.953,833.718,1270.752,1698.116,2106.943,2546.754,2867.304,370.587,47.222,-1.166,,
HFC_08.15_2.wav,HFC,216.598,263.348,147.364,115.984,368.347,592.690,847.395,208.793,1.535,56.317,12.053,4.672,3.86,362.312,607.240,907.709,1335.880,1677.975,2118.773,2523.541,2859.585,356.753,49.053,-1.088,,
HFC_08.30.wav,HFC,199.898,223.634,109.432,114.203,243.678,396.247,655.784,240.582,1.519,59.584,10.533,5.657,5.04,328.879,610.856,888.687,1347.492,1758.600,2114.269,2541.987,2839.194,358.617,48.799,-0.707,,
HFC_08.30_1.wav,HFC,183.029,250.168,99.713,150.456,257.707,477.850,707.305,122.757,1.361,66.329,8.818,7.522,4.74,329.556,583.009,884.223,1339.321,1738.765,2160.808,2544.507,2874.978,363.632,48.126,-0.909,,
HFC_08.30_2.wav,HFC,214.031,261.016,144.122,116.894,245.891,462.265,764.947,242.510,1.456,63.960,10.647,6.007,3.87,324.290,594.782,883.120,1348.222,1726.912,2123.406,2540.324,2900.070,367.969,47.558,-1.141,,
HFC_08.45.wav,HFC,188.628,218.537,145.427,73.109,295.760,504.414,774.397,198.628,1.345,65.386,10.781,6.065,4.02,337.924,595.545,891.423,1333.718,1720.776,2129.696,2549.058,2892.316,364.913,47.957,-0.733,,
