file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,206.477,226.953,155.493,71.460,209.239,278.998,458.338,201.907,1.630,69.703,10.735,6.493,10.37,255.609,498.806,877.759,1291.331,1618.163,2148.364,2608.433,2944.099,384.070,45.565,-0.890,,
HFC_07.30_1.wav,HFC,122.646,149.117,90.074,59.043,137.592,188.101,361.585,126.807,1.691,43.771,7.986,5.481,11.74,247.629,538.475,939.549,1399.817,1704.006,2132.947,2530.654,2912.304,380.668,45.972,-0.990,,
HFC_07.30_2.wav,HFC,265.556,291.580,184.789,106.792,271.034,395.624,686.402,273.778,1.102,42.704,13.159,3.245,7.90,288.319,570.821,899.793,1294.943,1594.629,2052.774,2486.511,2910.469,374.593,46.717,-1.192,,
HFC_07.45.wav,HFC,245.873,267.967,180.737,87.231,259.127,336.445,604.959,251.214,1.525,67.442,9.839,6.854,11.55,264.207,517.571,909.145,1308.105,1622.745,2077.249,2574.069,2918.699,379.213,46.148,-1.232,,
HFC_07.45_1.wav,HFC,236.039,266.833,129.074,137.760,248.795,381.795,614.347,209.524,1.132,69.633,10.600,6.569,9.10,266.079,558.056,895.326,1265.554,1585.668,2062.001,2491.574,2834.082,366.858,47.702,-1.417,,
HFC_07.45_2.wav,HFC,263.205,289.453,177.606,111.847,273.958,412.711,670.668,268.651,1.630,54.175,10.735,5.047,9.72,293.256,551.829,929.298,1305.851,1587.306,2104.121,2556.962,2911.412,374.022,46.789,-1.211,,
HFC_08.00.wav,HFC,265.458,293.129,168.835,124.294,278.238,426.051,659.368,271.015,1.268,50.132,10.647,4.708,10.65,296.530,551.660,926.902,1294.767,1621.955,2127.330,2553.530,2945.934,378.486,46.237,-1.402,,
HFC_08.00_1.wav,HFC,258.068,284.583,186.190,98.392,272.137,400.742,654.872,264.976,1.177,52.185,11.042,4.726,11.00,280.336,549.667,868.571,1256.532,1557.313,2039.326,2427.078,2830.274,364.277,48.040,-1.273,,
HFC_08.00_2.wav,HFC,225.155,255.795,130.056,125.739,239.581,442.961,645.174,217.608,1.057,56.933,8.991,6.332,9.30,291.369,596.940,880.900,1289.349,1580.841,1999.718,2446.712,2892.195,371.547,47.100,-1.293,,
HFC_08.15.wav,HFC,245.800,290.387,151.771,138.616,285.898,356.945,689.386,287.086,1.147,54.244,9.589,5.657,10.86,277.723,542.824,900.961,1251.592,1611.028,2048.752,2464.924,2889.513,373.113,46.903,-1.618,,
HFC_08.15_1.wav,HFC,226.934,270.109,124.397,145.712,251.864,325.293,710.701,247.885,1.374,55.949,12.376,4.521,9.82,264.538,588.427,842.065,1282.827,1600.703,2001.735,2439.862,2826.012,365.925,47.824,-1.571,,
HFC_08.15_2.wav,HFC,255.447,285.816,173.916,111.900,268.764,337.519,638.463,166.095,1.208,64.135,11.180,5.737,12.78,266.923,550.450,857.361,1258.376,1578.225,2024.158,2474.217,2835.813,366.984,47.686,-1.532,,
