file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,82.473,88.102,67.995,20.107,84.008,102.654,172.494,83.647,0.784,32.426,5.104,6.353,16.84,234.935,701.895,1180.733,1592.773,2072.690,2618.731,3083.374,3363.909,446.996,39.150,-2.025,,
LFC_07.45.wav,LFC,91.207,98.794,74.853,23.942,140.279,358.237,846.408,85.980,1.654,23.328,7.555,3.088,13.21,304.474,725.995,1193.038,1562.741,1963.522,2487.699,2968.305,3310.552,429.440,40.751,-1.322,,
LFC_08.00.wav,LFC,84.686,92.154,66.491,25.663,91.377,208.129,399.632,81.028,1.829,26.736,8.476,3.154,14.15,303.166,645.635,1140.129,1561.592,1918.923,2509.499,2900.509,3213.601,415.777,42.090,-0.966,,
LFC_08.15.wav,LFC,85.907,91.907,73.623,18.284,88.744,137.854,330.138,84.232,1.620,25.063,9.570,2.619,18.00,263.524,707.889,1145.411,1553.767,1963.255,2548.535,2915.712,3291.359,432.548,40.458,-1.546,,
LFC_08.30.wav,LFC,99.921,116.577,64.119,52.457,101.815,158.395,342.658,101.890,1.486,38.117,9.084,4.196,10.77,252.654,718.857,1192.732,1613.270,2001.318,2530.777,2949.205,3120.222,409.653,42.719,-1.567,,
LFC_10.00.wav,LFC,85.572,94.797,67.666,27.131,155.773,269.506,590.237,86.634,0.826,40.992,5.450,7.521,7.32,294.207,765.835,1101.269,1513.825,2013.790,2419.487,2882.329,3398.506,443.471,39.461,-1.071,,
LFC_10.15.wav,LFC,97.165,104.838,75.304,29.534,123.642,269.551,656.683,91.025,1.032,23.222,8.721,2.663,13.76,313.806,759.973,1177.041,1575.776,2012.098,2507.479,2948.772,3178.284,409.211,42.765,-1.501,,
LFC_10.30.wav,LFC,85.002,98.209,68.044,30.164,110.770,212.625,501.689,84.304,0.991,36.514,5.551,6.577,6.66,280.059,712.984,1073.356,1505.279,2015.711,2445.197,2856.101,3299.845,431.398,40.566,-1.101,,
LFC_11.30.wav,LFC,94.323,110.716,72.383,38.333,98.933,179.097,582.255,96.490,1.383,31.776,7.593,4.185,13.65,222.400,706.496,1126.875,1574.307,1997.301,2474.527,2949.671,3377.896,450.785,38.821,-1.880,,
