file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,94.233,109.574,67.982,41.592,169.291,251.976,494.276,96.421,2.098,50.339,12.869,3.912,7.87,260.551,615.603,1125.800,1498.391,1883.865,2573.431,3031.382,3401.231,448.669,39.004,-0.419,,
LFC_07.30_1.wav,LFC,83.976,88.872,62.915,25.957,138.940,224.663,337.619,85.383,1.857,35.828,8.887,4.031,12.02,250.009,571.269,1066.340,1505.231,1974.478,2531.656,3013.242,3320.850,438.692,39.891,-0.236,,
LFC_07.30_2.wav,LFC,79.220,84.225,67.163,17.062,126.886,236.517,389.238,84.261,1.902,38.468,8.938,4.304,9.34,292.836,572.710,1054.794,1494.822,1934.060,2518.456,2975.185,3317.616,432.111,40.499,-0.208,,
LFC_07.45.wav,LFC,80.575,83.650,65.696,17.955,144.407,222.236,334.217,83.772,1.932,29.270,7.246,4.039,13.75,269.363,567.305,1089.673,1501.411,1941.330,2585.899,3014.950,3351.039,440.239,39.751,-0.355,,
LFC_07.45_1.wav,LFC,77.443,83.441,65.954,17.487,153.500,292.098,482.353,79.038,1.736,22.880,6.625,3.454,14.99,327.791,582.710,1096.720,1478.471,1944.109,2612.138,3047.359,3353.977,432.312,40.480,-0.388,,
LFC_07.45_2.wav,LFC,77.249,83.444,67.215,16.229,135.003,203.122,364.854,80.150,1.992,33.250,8.281,4.015,13.34,266.186,594.267,1109.949,1468.842,1900.836,2621.483,3037.799,3306.330,434.306,40.294,-0.421,,
LFC_08.00.wav,LFC,78.529,83.255,69.413,13.842,126.149,204.269,355.507,81.123,1.645,28.841,9.421,3.061,14.30,268.483,579.535,1118.282,1510.377,1990.517,2622.879,3053.456,3170.962,414.640,42.205,-0.391,,
LFC_11.00.wav,LFC,77.221,110.894,60.570,50.324,125.702,259.443,487.661,118.764,1.108,28.500,9.025,3.158,3.73,313.916,608.330,1220.023,1544.191,2017.404,2526.184,3016.790,3434.942,445.861,39.250,-0.054,,
